iter	Passed	Remaining
0	1	335
1	3	299
2	4	283
3	5	273
4	6	267
5	8	278
6	9	272
7	11	264
8	12	258
9	13	252
10	14	248
11	15	247
12	17	247
13	18	243
14	19	240
15	20	237
16	21	236
17	23	240
18	25	238
19	26	236
20	27	233
21	28	232
22	30	231
23	31	228
24	32	226
25	33	224
26	34	221
27	36	221
28	37	220
29	38	219
30	39	217
31	40	215
32	42	214
33	43	213
34	45	213
35	46	211
36	47	209
37	48	208
38	50	207
39	51	205
40	52	204
41	53	203
42	55	201
43	56	200
44	57	199
45	59	197
46	60	196
47	61	194
48	62	193
49	64	192
50	65	190
51	66	189
52	68	188
53	69	188
54	70	186
55	72	185
56	73	183
57	74	182
58	75	180
59	76	179
60	78	178
61	79	176
62	80	175
63	81	173
64	83	172
65	84	171
66	85	169
67	86	168
68	87	167
69	89	166
70	90	165
71	92	163
72	93	162
73	94	160
74	95	159
75	97	158
76	98	157
77	99	156
78	100	154
79	102	153
80	103	152
81	105	151
82	106	149
83	107	148
84	108	146
85	110	145
86	111	144
87	112	143
88	113	141
89	114	140
90	116	139
91	117	137
92	118	136
93	120	135
94	121	134
95	123	133
96	124	132
97	125	130
98	126	129
99	128	128
100	129	127
101	131	126
102	132	124
103	133	123
104	134	122
105	136	120
106	137	119
107	138	118
108	140	116
109	141	115
110	142	114
111	144	113
112	145	111
113	146	110
114	147	109
115	149	107
116	150	106
117	151	105
118	152	103
119	153	102
120	155	101
121	156	100
122	158	99
123	159	97
124	160	96
125	161	94
126	163	93
127	164	92
128	165	91
129	166	89
130	167	88
131	169	87
132	170	85
133	172	84
134	173	83
135	174	82
136	176	81
137	177	79
138	178	78
139	180	77
140	181	75
141	182	74
142	183	73
143	185	71
144	186	70
145	187	69
146	188	68
147	190	66
148	191	65
149	192	64
150	193	62
151	195	61
152	196	60
153	198	59
154	199	57
155	200	56
156	201	55
157	203	54
158	204	52
159	205	51
160	207	50
161	208	48
162	209	47
163	211	46
164	212	45
165	213	43
166	214	42
167	216	41
168	217	39
169	218	38
170	219	37
171	221	35
172	222	34
173	223	33
174	225	32
175	226	30
176	227	29
177	228	28
178	230	27
179	231	25
180	233	24
181	234	23
182	235	21
183	236	20
184	238	19
185	239	18
186	240	16
187	241	15
188	243	14
189	244	12
190	245	11
191	247	10
192	248	9
193	249	7
194	251	6
195	252	5
196	253	3
197	254	2
198	256	1
199	257	0
