iter	Passed	Remaining
0	0	684
1	1	765
2	2	732
3	2	724
4	3	717
5	4	712
6	4	706
7	5	697
8	6	691
9	6	685
10	7	669
11	7	652
12	8	663
13	9	663
14	10	664
15	10	652
16	11	651
17	11	650
18	12	640
19	13	641
20	13	641
21	14	641
22	15	640
23	15	638
24	16	642
25	17	642
26	17	642
27	18	640
28	19	639
29	19	637
30	20	635
31	20	634
32	21	632
33	22	626
34	22	630
35	23	631
36	24	625
37	24	625
38	25	620
39	25	619
40	26	618
41	27	617
42	27	615
43	28	614
44	28	611
45	29	611
46	30	609
47	30	609
48	31	606
49	31	606
50	32	605
51	33	605
52	33	604
53	34	603
54	35	602
55	35	603
56	36	598
57	36	594
58	37	594
59	37	594
60	38	594
61	39	594
62	39	593
63	40	591
64	41	590
65	41	589
66	42	587
67	42	587
68	43	586
69	44	585
70	44	586
71	45	585
72	46	585
73	46	581
74	47	580
75	47	579
76	48	579
77	49	579
78	49	578
79	50	578
80	50	578
81	51	577
82	52	577
83	52	576
84	53	576
85	53	572
86	54	571
87	55	570
88	55	570
89	56	569
90	56	568
91	57	568
92	57	565
93	58	565
94	59	564
95	59	563
96	60	561
97	60	560
98	61	560
99	62	560
100	62	560
101	63	559
102	64	558
103	64	558
104	65	557
105	66	557
106	66	557
107	67	557
108	68	556
109	68	555
110	69	555
111	70	555
112	70	553
113	71	553
114	71	552
115	72	552
116	73	551
117	73	551
118	74	550
119	75	550
120	75	549
121	76	549
122	76	548
123	77	547
124	78	546
125	78	545
126	79	545
127	79	544
128	80	543
129	81	543
130	81	543
131	82	543
132	83	543
133	84	543
134	84	543
135	85	542
136	86	542
137	86	540
138	87	540
139	87	540
140	88	539
141	89	539
142	89	537
143	90	537
144	91	536
145	91	536
146	92	535
147	92	534
148	93	534
149	94	534
150	94	534
151	95	533
152	96	533
153	97	533
154	97	532
155	98	532
156	98	530
157	99	530
158	100	529
159	100	528
160	101	528
161	102	527
162	102	527
163	103	526
164	103	525
165	104	525
166	105	524
167	105	523
168	106	522
169	106	522
170	107	522
171	108	521
172	109	521
173	109	520
174	110	519
175	110	518
176	111	517
177	111	516
178	112	516
179	113	515
180	113	515
181	114	514
182	115	514
183	115	513
184	116	512
185	116	511
186	117	510
187	118	510
188	118	509
189	119	508
190	120	508
191	120	508
192	121	507
193	122	506
194	122	506
195	123	505
196	123	505
197	124	504
198	125	503
199	125	503
200	126	502
201	127	502
202	127	501
203	128	501
204	129	500
205	129	500
206	130	499
207	130	498
208	131	497
209	132	497
210	132	496
211	133	496
212	134	495
213	134	495
214	135	494
215	136	494
216	136	493
217	137	492
218	138	492
219	138	491
220	139	490
221	139	490
222	140	489
223	141	489
224	141	489
225	142	488
